Sample,Community,SEHE30
SEHE32_1_DP,"['1', '3', '6']",SEHE30_1
SEHE32_1_DP-,"['1',  '6']",
SEHE32_2_DP,"['1', '3', '4']",SEHE30_13
SEHE32_2_DP-,"['1',  '4']",
SEHE32_3_DP,"['1', '3', '4', '12']",SEHE30_19
SEHE32_3_DP-,"['1', '4', '12']",
SEHE32_4_DP,"['1', '3', '6', '8']",SEHE30_31
SEHE32_4_DP-,"['1', '6', '8']",
SEHE32_5_DP,"['1', '3', '4', '6']",SEHE30_32
SEHE32_5_DP-,"['1', '4', '6']",
SEHE32_6_DP,"['1', '3', '4', '7']",SEHE30_33
SEHE32_6_DP-,"['1', '4', '7']",
SEHE32_7_DP,"['1', '3', '4', '9', '12']",SEHE30_38
SEHE32_7_DP-,"['1',  '4', '9', '12']",
SEHE32_8_DP,"['1', '3', '4', '6', '8']",SEHE30_40
SEHE32_8_DP-,"['1',  '4', '6', '8']",
SEHE32_9_DP,"['1', '2', '3', '4', '14']",SEHE30_41
SEHE32_9_DP-,"['1', '2', '4', '14']",
SEHE32_10_DP,"['1', '2', '3', '4', '9']",
SEHE32_10_DP-,"['1', '2', '4', '9']",
SEHE32_11_DP,"['1', '3', '6', '7', '8']",SEHE30_43
SEHE32_11_DP-,"['1',  '6', '7', '8']",
SEHE32_12_DP,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",SEHE30_94
SEHE32_12_DP-,"['1', '2', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",